ID,Genero,sp,Local,Tratamento,LTh,TiL,TarL,FL,AL,FL,HL_M,ED,HW,HL_Rostro,Larg_Boca,Timpano,Disco_Ades_M,Disco_Ades_P,CRC,Massa (gramas)
2643,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,6.23,6.31,3.86,4.19,2.76,3.47,3.90,1.04,1.46,4.60,3.48,0.89,NA,NA,11.31,0.05
2644,Physalaemus,Physalaemus_biligonigerus,F,undisturbed,13.64,12.03,7.90,13.78,3.48,5.56,8.91,2.18,1.60,9.82,9.87,1.44,NA,NA,31.35,3.00
2645,Physalaemus,Physalaemus_biligonigerus,A,disturbed,9.50,10.55,6.32,12.73,3.45,4.10,6.60,1.43,1.25,9.12,10.25,9.72,1.99,NA,27.38,1.35
2646,Physalaemus,Physalaemus_biligonigerus,A,disturbed,8.15,9.97,6.22,11.05,3.44,3.76,5.44,1.37,1.48,8.57,9.13,NA,NA,NA,27.32,1.45
2647,Physalaemus,Physalaemus_biligonigerus,A,disturbed,6.28,7.53,3.89,8.53,2.20,3.25,4.98,1.34,0.94,6.57,6.35,0.91,NA,NA,16.88,0.50
2648,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,7.41,7.88,4.55,4.53,2.42,3.23,4.28,1.25,0.71,5.84,5.46,NA,NA,NA,16.52,0.55
2649,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,5.91,5.42,3.13,6.73,3.36,1.58,3.20,1.39,1.28,5.59,4.87,NA,NA,NA,12.97,0.10
2650,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,4.21,4.92,3.62,5.89,1.43,1.58,2.92,0.68,1.09,4.27,4.10,NA,NA,NA,10.99,0.1
2651,Dendropsophus,Dendropsophus_minutus,B,disturbed,6.58,7.38,4.97,6.12,2.35,2.38,4.51,1.57,0.91,5.25,4.49,NA,0.50,0.40,15.57,0.15
2652,Dendropsophus,Dendropsophus_minutus,E,undisturbed,8.12,10.24,5.65,9.65,3.55,4.01,5.82,1.13,1.11,6.08,6.48,NA,0.68,0.90,21.79,0.60
2653,Dendropsophus,Dendropsophus_minutus,E,undisturbed,8.55,11.27,6.94,8.96,3.21,4.48,5.83,1.31,1.18,6.40,6.61,0.99,NA,NA,20.37,0.35
2654,Dendropsophus,Dendropsophus_minutus,E,undisturbed,8.47,10.35,6.40,7.81,2.78,3.21,6.45,1.75,0.88,7.60,5.99,NA,NA,NA,20.42,0.20
2655,Dendropsophus,Dendropsophus_minutus,E,undisturbed,9.68,11.86,6.42,9.03,3.53,3.56,6.50,1.28,0.93,6.74,6.05,NA,NA,NA,21.55,0.45
2656,Dendropsophus,Dendropsophus_minutus,E,undisturbed,9.48,11.26,6.14,9.19,3.05,4.21,4.51,1.83,0.98,7.82,6.22,0.43,NA,NA,21.49,0.35
2699,Leptodactylus,Leptodactylus_latrans,D,undisturbed,27.22,30.08,18.68,30.43,8.07,10.31,3.52,6.04,4.20,20.50,19.44,3.47,NA,NA,61.59,17.40
2700,Leptodactylus,Leptodactylus_latrans,F,undisturbed,25.21,27.36,13.95,32.17,10.84,9.56,14.69,5.14,4.49,21.53,18.45,3.16,NA,NA,61.01,12.20
2701,Leptodactylus,Leptodactylus_latrans,F,undisturbed,26.70,27.77,14.76,29.26,10.04,10.06,11.86,4.46,4.31,20.22,17.54,3.04,NA,NA,55.39,10.40
2702,Leptodactylus,Leptodactylus_latrans,E,undisturbed,28.33,28.23,15.29,28.14,7.41,9.60,14.24,4.55,4.69,20.44,18.57,3.27,NA,NA,76.85,15.40
2703,Leptodactylus,Leptodactylus_latrans,E,undisturbed,29.21,33.17,17.94,33.79,11.69,13.10,14.77,5.33,5.81,22.91,20.32,4.10,NA,NA,71.91,20.00
2704,Leptodactylus,Leptodactylus_latrans,E,undisturbed,23.82,28.79,14.49,30.94,9.86,11.62,13.72,4.73,4.37,14.76,16.81,2.19,NA,NA,56.28,12.20
2705,Leptodactylus,Leptodactylus_latrans,E,undisturbed,30.20,31.46,14.64,31.29,10.15,13.67,12.72,4.58,5.57,20.03,19.83,3.57,NA,NA,66.45,22.30
2706,Leptodactylus,Leptodactylus_latrans,A,disturbed,29.16,32.24,14.90,33.27,8.87,11.98,14.40,4.46,5.68,21.29,19.91,4.00,NA,NA,64.03,23.65
2707,Leptodactylus,Leptodactylus_latrans,A,disturbed,35.91,35.36,22.72,37.08,13.16,15.44,19.87,10.03,11.86,27.00,18.92,2.39,NA,NA,67.47,21.30
2708,Leptodactylus,Leptodactylus_latrans,A,disturbed,28.19,29.66,16.05,28.99,10.36,10.37,16.03,5.80,5.81,20.24,18.25,3.02,NA,NA,60.90,15.90
2714,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,6.17,6.30,3.78,7.59,2.43,2.90,3.51,0.93,0.92,6.24,4.55,NA,NA,NA,14.07,0.05
2715,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,7.26,7.09,3.89,7.79,2.01,1.96,3.96,1.00,0.54,4.77,4.73,0.45,NA,NA,13.44,0.10
2716,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,5.16,6.51,3.84,7.45,2.60,2.54,2.96,0.72,0.81,5.28,4.01,NA,NA,NA,12.62,0.10
2717,Pseudopaludicola,Pseudopaludicola_falcipes,E,undisturbed,5.23,6.42,3.69,NA,2.03,2.32,3.02,0.99,0.84,4.65,4.11,0.66,NA,NA,12.54,0.05
2718,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,5.31,6.90,4.15,8.42,2.53,2.13,3.14,0.76,0.87,5.28,4.20,0.68,NA,NA,13.22,0.10
2719,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,6.05,6.84,4.22,9.03,2.61,2.66,4.44,0.77,0.91,4.82,3.62,NA,NA,NA,13.87,0.10
2720,Dendropsophus,Dendropsophus_minutus,A,disturbed,8.06,7.96,4.17,6.50,3.60,2.79,4.30,1.09,1.04,5.86,4.98,NA,0.48,0.48,17.68,0.10
2721,Dendropsophus,Dendropsophus_sanborni,A,disturbed,5.08,6.43,3.01,5.01,3.07,2.62,3.52,0.78,0.61,3.61,2.68,NA,NA,NA,12.06,0.1
2722,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,6.20,6.45,4.05,8.07,2.47,2.42,2.72,1.43,0.89,5.66,4.33,NA,NA,NA,13.35,0.05
2723,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,6.08,7.20,4.41,5.98,2.88,2.10,3.10,0.93,1.08,5.50,4.90,0.67,NA,NA,13.18,0.20
2724,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,6.05,7.46,4.37,9.07,2.68,2.32,3.25,0.70,0.68,5.13,4.60,NA,NA,NA,15.37,0.15
2725,Dendropsophus,Dendropsophus_minutus,A,disturbed,5.72,7.44,4.19,5.29,2.75,3.05,5.89,1.47,0.72,4.22,4.50,0.75,NA,0.55,15.22,0.10
2726,Rhinella,Rhinella_dorbignyi,A,disturbed,13.61,14.17,9.77,16.51,6.42,10.41,9.08,3.19,3.18,14.32,13.15,2.35,NA,NA,50.28,7.05
2727,Dendropsophus,Dendropsophus_minutus,B,disturbed,10.33,11.05,7.39,9.61,4.12,3.39,4.89,1.73,1.46,7.47,5.55,NA,0.62,0.56,20.10,0.30
2728,Dendropsophus,Dendropsophus_minutus,B,disturbed,8.01,8.28,5.49,8.20,3.07,2.36,3.63,1.16,1.00,5.18,4.64,NA,NA,0.35,16.66,0.10
2729,Dendropsophus,Dendropsophus_minutus,B,disturbed,6.20,8.55,5.90,6.93,3.50,3.42,4.70,1.71,1.00,5.66,3.96,0.46,0.39,0.39,17.76,0.20
2730,Dendropsophus,Dendropsophus_minutus,B,disturbed,6.67,8.59,4.37,7.90,2.22,3.32,4.77,1.55,1.21,5.58,4.30,0.81,NA,0.53,16.93,0.10
2731,Pseudopaludicola,Pseudopaludicola_falcipes,B,disturbed,4.80,6.41,3.29,6.99,2.86,2.07,2.55,1.06,0.94,4.61,3.61,NA,NA,NA,11.61,0.05
2732,Pseudopaludicola,Pseudopaludicola_falcipes,B,disturbed,6.13,7.42,5.18,8.06,3.71,2.57,4.14,1.64,0.96,6.86,4.06,NA,NA,NA,15.64,0.25
2733,Pseudopaludicola,Pseudopaludicola_falcipes,B,disturbed,6.13,7.39,5.34,8.27,3.28,2.69,4.08,0.94,1.14,5.10,3.57,0.99,NA,NA,14.34,0.15
2734,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,5.63,6.21,3.65,7.30,1.83,2.36,3.43,1.05,0.94,4.90,4.21,0.62,NA,NA,11.29,0.05
2735,Pseudopaludicola,Pseudopaludicola_falcipes,D,undisturbed,6.97,6.89,3.84,6.60,2.61,2.23,2.61,0.93,1.36,5.86,3.80,NA,NA,NA,13.75,0.10
2736,Dendropsophus,Dendropsophus_minutus,F,undisturbed,6.86,8.33,6.12,7.82,3.03,3.75,4.13,1.03,1.06,5.92,5.13,NA,NA,0.42,19.76,0.35
2737,Dendropsophus,Dendropsophus_minutus,F,undisturbed,8.52,8.84,5.70,6.38,3.97,3.54,5.43,1.43,1.44,5.22,4.63,0.49,NA,NA,19.72,0.35
2738,Dendropsophus,Dendropsophus_minutus,F,undisturbed,7.13,7.72,3.74,6.52,1.83,3.10,3.48,1.21,1.40,4.73,4.81,NA,0.55,NA,16.02,0.25
2739,Dendropsophus,Dendropsophus_minutus,E,undisturbed,8.43,10.15,5.72,7.02,2.78,3.21,5.73,1.05,1.33,5.66,5.57,NA,0.72,0.72,18.59,0.35
2740,Dendropsophus,Dendropsophus_minutus,E,undisturbed,10.25,10.40,6.08,8.04,3.54,2.95,5.38,1.33,1.03,5.44,5.21,0.57,0.57,0.36,19.46,0.15
2741,Dendropsophus,Dendropsophus_minutus,E,undisturbed,10.00,10.54,6.55,7.49,3.36,3.23,4.70,1.06,1.13,5.99,5.16,0.61,NA,0.48,18.25,0.20
2742,Rhinella,Rhinella_dorbignyi,A,disturbed,5.97,6.80,4.60,8.06,4.06,5.29,5.68,1.86,1.75,6.99,6.57,1.18,NA,NA,24.82,0.85
2743,Rhinella,Rhinella_dorbignyi,A,disturbed,5.02,5.92,3.84,6.12,2.58,3.76,4.30,1.62,1.53,6.29,5.30,0.94,NA,NA,20.16,0.40
2744,Rhinella,Rhinella_dorbignyi,A,disturbed,6.51,5.92,4.09,5.95,2.72,4.51,4.33,1.95,1.59,6.20,5.24,0.79,NA,NA,19.72,1.00
2745,Dendropsophus,Dendropsophus_minutus,A,disturbed,6.05,8.51,4.53,6.62,3.04,3.20,4.61,1.23,0.99,5.70,4.26,NA,NA,NA,17.22,0.05
2746,Physalaemus,Physalaemus_biligonigerus,A,disturbed,7.64,8.65,5.37,10.13,3.73,3.73,4.25,1.25,1.09,6.09,6.46,NA,NA,NA,19.97,0.35
2747,Physalaemus,Physalaemus_biligonigerus,A,disturbed,9.61,8.22,5.57,9.59,4.35,4.01,6.27,1.22,1.26,5.90,6.09,1.09,NA,NA,20.36,0.35
2748,Physalaemus,Physalaemus_biligonigerus,A,disturbed,7.29,7.56,4.73,8.63,3.88,4.00,4.63,0.84,0.69,5.50,5.29,0.88,NA,NA,19.23,0.25
2749,Pseudis,Pseudis_minuta,C,disturbed,12.76,12.81,6.31,12.07,4.83,4.69,8.36,2.03,1.84,10.59,8.77,1.96,NA,NA,23.61,1.15
2750,Elachistocleis,Elachistocleis_bicolor,E,undisturbed,4.79,5.21,4.07,7.33,1.86,2.75,3.52,0.85,0.96,6.33,2.66,NA,NA,NA,15.61,0.15
2751,Elachistocleis,Elachistocleis_bicolor,E,undisturbed,6.88,7.92,5.45,10.20,3.07,2.96,4.80,0.86,1.21,7.01,4.92,NA,NA,NA,23.45,0.80
2752,Elachistocleis,Elachistocleis_bicolor,E,undisturbed,7.14,7.93,4.89,9.89,2.80,3.15,3.86,0.88,1.42,7.67,4.59,NA,NA,NA,22.43,0.85
2753,Physalaemus,Physalaemus_biligonigerus,B,disturbed,7.96,8.92,5.52,8.61,3.96,2.72,4.55,1.18,0.79,7.11,5.67,NA,NA,NA,19.98,0.45
2754,Scinax,Scinax_fuscovarius,D,undisturbed,12.29,16.22,9.96,14.13,5.60,5.94,7.34,2.75,1.83,10.29,7.00,1.44,1.28,1.34,28.17,1.00
2755,Scinax,Scinax_fuscovarius,D,undisturbed,13.99,15.29,9.41,12.25,4.12,5.65,7.04,1.73,1.09,10.06,6.55,1.66,1.56,0.98,26.86,0.95
2756,Scinax,Scinax_fuscovarius,D,undisturbed,10.24,13.40,6.15,10.68,4.67,5.42,7.67,2.74,1.30,8.96,6.76,1.29,0.73,1.21,23.72,0.60
2757,Leptodactylus,Leptodactylus_latrans,A,disturbed,16.25,19.57,10.45,20.00,7.05,6.80,8.73,2.89,2.74,16.46,13.07,2.46,NA,NA,40.67,4.40
2758,Leptodactylus,Leptodactylus_latrans,A,disturbed,24.79,25.65,14.52,27.55,9.43,9.61,12.07,3.49,3.72,21.45,16.56,3.11,NA,NA,51.11,10.40
2759,Leptodactylus,Leptodactylus_latrans,A,disturbed,26.98,28.70,15.81,32.19,9.02,11.24,12.62,4.80,4.65,21.40,19.21,3.66,NA,NA,57.25,15.00
2760,Leptodactylus,Leptodactylus_latrans,A,disturbed,16.46,17.63,10.71,16.05,6.01,5.97,9.42,3.35,3.69,15.66,11.77,2.58,NA,NA,38.02,4.00
2761,Leptodactylus,Leptodactylus_latrans,A,disturbed,11.74,14.41,7.97,16.31,7.27,6.23,7.35,2.86,2.41,13.51,9.56,2.08,NA,NA,32.40,2.05
2762,Leptodactylus,Leptodactylus_latrans,E,undisturbed,13.87,16.60,8.09,16.96,5.55,6.20,7.54,2.12,2.17,11.42,11.13,1.91,NA,NA,32.10,2.35
2763,Leptodactylus,Leptodactylus_latinasus,E,undisturbed,12.00,15.47,9.56,15.64,5.86,4.68,7.95,2.57,2.09,12.36,9.02,1.98,NA,NA,31.69,1.80
2764,Leptodactylus,Leptodactylus_latrans,F,undisturbed,17.73,19.97,11.36,21.47,6.45,5.15,5.52,2.30,2.27,14.74,11.25,1.41,NA,NA,34.53,2.65
2765,Physalaemus,Physalaemus_biligonigerus,E,undisturbed,7.24,8.66,4.77,11.03,3.36,5.11,5.08,1.91,1.51,7.03,8.04,NA,NA,NA,21.19,0.80
2766,Physalaemus,Physalaemus_biligonigerus,E,undisturbed,7.62,9.01,5.95,10.29,4.20,4.28,5.36,1.90,1.52,8.02,8.42,0.97,NA,NA,20.60,0.70
2767,Physalaemus,Physalaemus_biligonigerus,E,undisturbed,7.28,7.53,4.06,10.55,2.86,4.45,5.12,1.10,2.07,6.67,6.34,NA,NA,NA,20.78,0.80
2768,Leptodactylus,Leptodactylus_latrans,F,undisturbed,17.62,27.01,9.57,23.00,7.28,6.70,10.19,2.09,13.17,15.80,12.66,2.25,NA,NA,42.94,5.30
2769,Leptodactylus,Leptodactylus_latrans,F,undisturbed,18.71,22.06,12.84,23.06,7.50,8.76,11.50,2.91,3.09,18.26,14.52,3.13,NA,NA,46.51,6.60
2770,Leptodactylus,Leptodactylus_latrans,F,undisturbed,15.71,18.37,10.56,18.15,6.87,6.13,11.54,2.56,2.41,14.83,12.08,2.75,NA,NA,39.51,4.70
2771,Leptodactylus,Leptodactylus_latinasus,D,undisturbed,3.28,15.73,9.75,15.48,5.35,5.35,6.32,2.45,1.39,13.22,8.58,1.59,NA,NA,29.47,1.90
2772,Boana,Boana_faber,E,undisturbed,46.49,45.66,25.38,36.38,16.41,15.80,23.25,5.75,7.32,25.81,29.44,5.68,4.39,4.29,79.48,40.85
2773,Rhinella,Rhinella_dorbignyi,C,disturbed,10.72,11.06,8.14,13.73,3.24,6.33,8.45,3.76,2.68,12.98,13.41,2.29,NA,NA,37.38,4.80
2774,Rhinella,Rhinella_dorbignyi,C,disturbed,11.64,10.35,7.62,12.35,4.13,7.08,9.46,3.66,3.65,11.20,11.08,3.49,NA,NA,35.13,3.25
2775,Physalaemus,Physalaemus_biligonigerus,C,disturbed,7.48,10.76,6.31,10.99,3.10,4.56,6.29,1.40,2.12,8.78,7.65,1.0,NA,NA,23.58,0.80
2776,Physalaemus,Physalaemus_biligonigerus,C,disturbed,8.72,8.85,4.13,11.89,3.06,4.72,7.69,1.72,1.47,6.92,6.78,NA,NA,NA,23.00,1.35
2777,Physalaemus,Physalaemus_biligonigerus,C,disturbed,9.12,9.72,5.90,11.30,4.31,4.50,5.42,1.63,0.96,8.24,8.70,NA,NA,NA,23.96,1.15
2778,Leptodactylus,Leptodactylus_latinasus,C,disturbed,12.76,16.47,6.75,17.49,6.17,4.41,7.74,2.28,1.59,12.85,7.76,1.57,NA,NA,31.41,2.00
2779,Scinax,Scinax_granulatus,C,disturbed,13.59,14.53,8.02,11.41,5.05,4.41,2.59,1.28,1.29,9.57,7.03,1.26,1.22,1.04,24.32,0.75
2780,Scinax,Scinax_granulatus,C,disturbed,14.02,16.27,8.94,11.82,4.33,4.59,8.76,2.35,1.49,9.27,7.33,1.36,1.63,1.13,28.34,0.95
2781,Scinax,Scinax_granulatus,C,disturbed,14.05,16.06,7.57,13.15,5.00,5.27,8.38,1.88,1.83,9.95,6.25,1.79,1.13,0.95,28.15,1.05
2782,Scinax,Scinax_granulatus,A,disturbed,19.67,22.88,11.44,19.71,6.76,6.46,11.05,2.74,1.86,13.29,11.62,2.15,1.57,1.40,41.87,4.65
2783,Leptodactylus,Leptodactylus_latinasus,A,disturbed,15.52,15.78,9.71,17.96,6.43,5.19,7.05,1.88,2.53,11.17,8.42,1.95,NA,NA,32.07,2.10
2784,Leptodactylus,Leptodactylus_latinasus,A,disturbed,12.37,15.40,9.23,15.68,4.94,6.69,7.82,2.06,1.24,10.89,7.97,1.55,NA,NA,28.37,0.90
2785,Leptodactylus,Leptodactylus_latinasus,A,disturbed,12.80,14.71,9.35,16.52,4.00,4.68,6.22,2.14,2.27,11.52,9.49,1.68,NA,NA,29.18,1.50
2786,Leptodactylus,Leptodactylus_latinasus,B,disturbed,12.74,15.10,8.42,15.72,6.28,5.62,6.51,2.87,1.28,11.62,6.74,2.15,NA,NA,29.75,1.60
2787,Leptodactylus,Leptodactylus_latinasus,B,disturbed,12.94,15.79,9.28,15.52,4.74,5.29,6.46,2.41,1.54,11.92,7.09,1.39,NA,NA,29.44,1.50
2788,Leptodactylus,Leptodactylus_latinasus,B,disturbed,11.66,16.23,9.43,17.24,5.93,4.58,6.53,2.33,1.49,12.25,7.98,1.86,NA,NA,30.96,1.75
2789,Leptodactylus,Leptodactylus_latinasus,F,undisturbed,11.64,14.29,8.65,15.15,5.42,4.19,5.37,1.58,2.45,10.59,8.83,1.99,NA,NA,28.68,1.55
2790,Leptodactylus,Leptodactylus_latinasus,F,undisturbed,11.32,13.98,8.09,14.08,4.22,3.73,6.83,2.02,1.64,11.03,7.95,1.42,NA,NA,28.78,1.00
2791,Physalaemus,Physalaemus_biligonigerus,D,undisturbed,9.56,10.44,7.33,12.13,4.26,5.63,7.55,1.99,1.77,8.67,9.13,NA,NA,NA,25.55,1.35
2792,Leptodactylus,Leptodactylus_latrans,D,undisturbed,14.24,16.41,10.23,18.73,7.39,6.85,9.56,3.17,3.00,10.95,10.67,10.16,NA,NA,33.26,3.00
2793,Leptodactylus,Leptodactylus_latrans,D,undisturbed,31.25,32.10,21.54,32.58,16.70,18.10,21.46,3.28,3.32,17.38,13.41,2.62,NA,NA,43.64,5.80
2794,Leptodactylus,Leptodactylus_latrans,D,undisturbed,17.42,18.09,10.54,19.81,7.50,6.52,8.28,2.89,2.26,15.37,11.68,2.77,NA,NA,37.13,3.50
2795,Leptodactylus,Leptodactylus_latrans,C,disturbed,17.63,18.84,11.59,22.05,7.34,7.24,10.23,2.67,2.81,15.97,12.23,2.64,NA,NA,38.66,3.75
2796,Leptodactylus,Leptodactylus_latrans,C,disturbed,21.30,21.67,11.78,22.55,7.84,8.31,11.74,3.50,3.41,18.00,13.74,2.48,NA,NA,43.93,4.85
2797,Leptodactylus,Leptodactylus_latrans,C,disturbed,16.84,17.38,10.50,20.48,7.38,6.94,8.21,3.10,2.12,14.24,11.30,2.21,NA,NA,37.38,3.00
2798,Leptodactylus,Leptodactylus_latrans,E,undisturbed,11.57,15.85,9.28,19.15,6.32,6.61,8.39,3.88,3.00,13.00,10.50,2.21,NA,NA,34.73,2.50
2799,Leptodactylus,Leptodactylus_latrans,E,undisturbed,12.45,15.55,8.33,15.05,6.18,4.79,8.37,3.20,2.45,13.74,9.93,2.24,NA,NA,33.59,2.05
2800,Leptodactylus,Leptodactylus_latrans,E,undisturbed,22.97,24.70,14.42,25.72,9.11,8.56,12.23,4.47,4.83,18.90,15.81,2.59,NA,NA,49.17,9.15
2801,Leptodactylus,Leptodactylus_latrans,E,undisturbed,29.26,31.34,18.00,29.75,11.12,11.48,15.61,4.66,6.00,20.36,19.22,3.19,NA,NA,62.04,20.80
2802,Leptodactylus,Leptodactylus_latrans,B,disturbed,24.10,26.64,16.44,25.93,11.26,10.45,12.77,4.10,4.39,19.79,17.96,2.85,NA,NA,54.93,11.90
2803,Leptodactylus,Leptodactylus_latrans,B,disturbed,28.24,32.08,18.43,34.30,11.75,11.34,14.30,5.77,6.28,23.35,18.53,3.35,NA,NA,73.35,21.45
2804,Leptodactylus,Leptodactylus_latrans,B,disturbed,31.96,33.96,19.55,35.39,10.11,13.23,17.09,4.62,8.04,22.66,22.03,4.13,NA,NA,71.72,27.00
2805,Dendropsophus,Dendropsophus_sanborni,B,disturbed,7.35,8.80,4.26,5.53,3.49,3.23,3.82,0.73,1.64,6.72,4.93,NA,0.56,0.27,18.52,0.15
2806,Dendropsophus,Dendropsophus_minutus,A,disturbed,8.01,8.68,6.11,7.30,3.62,1.43,4.86,1.07,1.43,6.08,4.97,0.55,0.53,0.36,17.53,0.25
2807,Dendropsophus,Dendropsophus_minutus,A,disturbed,7.71,8.31,4.70,6.80,2.74,3.74,3.85,1.11,1.28,5.77,4.91,NA,0.67,0.46,18.39,0.15
2808,Dendropsophus,Dendropsophus_minutus,A,disturbed,6.56,8.27,4.32,7.44,2.67,3.46,5.16,1.03,1.29,6.08,5.43,NA,0.65,0.42,18.75,0.20
2811,Pseudis,Pseudis_minuta,D,undisturbed,15.98,17.60,9.01,15.57,6.68,6.92,11.57,2.97,2.84,12.40,11.62,1.85,NA,NA,33.19,2.50
2812,Dendropsophus,Dendropsophus_sanborni,D,undisturbed,7.23,8.70,4.29,6.58,3.02,3.25,4.04,1.09,1.46,5.54,4.94,0.86,0.31,0.58,17.92,0.10
2813,Scinax,Scinax_granulatus,E,undisturbed,21.45,24.44,14.11,18.91,6.49,7.76,11.74,2.23,3.58,13.58,13.36,2.27,1.62,2.03,43.13,4.40
2814,Scinax,Scinax_fuscovarius,E,undisturbed,20.85,23.42,10.96,17.48,5.54,6.53,9.47,1.08,3.18,12.58,12.62,2.41,1.77,1.77,42.86,3.35
2815,Scinax,Scinax_granulatus,E,undisturbed,18.96,22.35,13.07,14.18,7.01,7.20,8.10,1.01,2.42,13.43,11.25,2.23,1.74,1.61,37.92,2.05
2816,Pseudopaludicola,Pseudopaludicola_falcipes,F,undisturbed,6.96,6.20,2.96,7.83,3.33,2.52,2.71,0.89,0.68,6.09,5.21,0.47,NA,NA,3.96,0.15
2817,Dendropsophus,Dendropsophus_sanborni,E,undisturbed,14.59,17.02,8.84,12.88,5.64,5.65,7.42,2.31,2.04,11.50,9.95,1.33,1.17,1.03,32.68,0.75
2818,Dendropsophus,Dendropsophus_sanborni,E,undisturbed,6.55,6.49,3.86,4.08,2.09,1.71,3.96,0.68,0.65,4.30,3.45,NA,0.23,NA,12.72,0.05
2819,Dendropsophus,Dendropsophus_minutus,E,undisturbed,9.02,11.11,5.91,8.17,2.22,3.61,4.56,1.52,0.78,6.53,6.20,0.75,0.52,0.53,21.11,0.35
2820,Dendropsophus,Dendropsophus_minutus,E,undisturbed,10.71,11.66,7.43,10.60,3.69,3.70,6.46,1.16,1.31,7.01,6.36,0.97,0.82,0.65,21.16,0.30
2821,Dendropsophus,Dendropsophus_minutus,E,undisturbed,9.97,11.68,7.08,10.56,4.49,4.66,5.68,1.86,0.65,6.63,6.22,0.63,0.81,0.47,21.06,0.25
2822,Physalaemus,Physalaemus_biligonigerus,E,undisturbed,12.05,12.55,8.08,14.71,4.71,6.01,8.70,3.63,2.12,12.66,13.02,1.07,NA,NA,32.08,1.85
2823,Pseudis,Pseudis_minuta,A,disturbed,15.85,18.04,7.74,17.96,4.69,5.86,9.80,2.20,3.63,13.50,11.00,2.56,NA,NA,33.42,2.65
